     hat_id      | ndet  |                           full_lc_fpath
 HAT-064-0000197 |  5554 | 064/HAT-064-0000197-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-064-0000602 |  5555 | 064/HAT-064-0000602-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-064-0003647 |  5554 | 064/HAT-064-0003647-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-079-0000050 | 19966 | 079/HAT-079-0000050-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-079-0000101 | 19999 | 079/HAT-079-0000101-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-079-0000197 | 19999 | 079/HAT-079-0000197-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-079-0013066 | 19999 | 079/HAT-079-0013066-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-079-0013369 | 19996 | 079/HAT-079-0013369-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-080-0000019 |  9905 | 080/HAT-080-0000019-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-080-0000212 | 11182 | 080/HAT-080-0000212-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-080-0000237 | 19994 | 080/HAT-080-0000237-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-080-0000442 | 19997 | 080/HAT-080-0000442-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-080-0000799 | 11182 | 080/HAT-080-0000799-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
